Group,L-Carnitine,L-Acetylcarnitine,Palmitoylcarnitine(AcCa(16:0),Decanoylcarnitine(AcCa(10:0),Isovalerylcarnitine(AcCa(5:0),Hexanoylcarnitine(AcCa(6:0),Isobutyrylcarnitine(AcCa(4:0),Octanoylcarnitine(AcCa(8:0),Propionylcarnitine(AcCa(3:0),Butyrylcarnitine(AcCa(4:0),Oleoylcarnitine(AcCa(18:1),Tetradecanoylcarnitine(AcCa(14:0),Valerylcarnitine(AcCa(5:0),9-Hexadecenoylcarnitine(AcCa(16:1),3-Hydroxyisovalerylcarnitine(AcCa(5:0-OH),Hexanoylcarnitine(AcCa(6:0)3,Hexanoylcarnitine(AcCa(6:0)1,Hexanoylcarnitine(AcCa(6:0)2,Hydroxybutyrylcarnitine(AcCa(4:0-OH),Creatine,Choline,Glutathione,L-Tyrosine,Creatinine,S-Adenosylhomocysteine,Spermine,N1-Acetylspermidine,Asymmetric dimethylarginine,Symmetric dimethylarginine,Proline betaine,L-Histidine,Taurine,Cysteineglutathione disulfide,L-Tryptophan,N-Acetylaspartylglutamic acid,N-Acetylglutamic acid,beta-Alanine,Glycine,L-Glutamic acid,L-Phenylalanine,L-Alanine,L-Proline,L-Threonine,L-Asparagine,L-Isoleucine,L-Lysine,L-Serine,L-Aspartic acid,Ornithine,Pyroglutamic acid,Urocanic acid,L-Arginine,L-Cysteine,L-Glutamine,L-Leucine,L-Methionine,N-Acetyl-L-alanine,N-Acetyl-L-aspartic acid,L-Valine,Citrulline,Phosphocreatine,O-Acetylserine,Oxidized glutathione,N-Acetyl-L-methionine,"Glutamate, gamma-methyl ester",N-Acetyl-beta-alanine,1-Methylhistidine,"N,N,N-trimethyl-5-aminovaleric acid",L-Cystine
Group 2,29.69319,27.37157,22.87375,22.89198,25.79381,23.06121,24.26233,22.94337,28.17226,23.58083,21.90847,22.18389,25.94396,21.96882,23.5329,17.59579,17.53823,17.58171,22.0278,28.11937,25.93331,21.67077,27.27165,24.22182,23.30982,26.9129,26.4313,22.63704,22.63704,23.24673,22.79287,25.53759,25.8271,22.46172,24.79855,23.54226,24.10464,24.45261,29.46821,24.21666,22.29531,25.36774,23.42186,25.60547,24.88686,21.59786,23.31813,28.46762,19.83236,29.02894,16.98428,24.90031,21.9409,21.57032,24.89386,21.34725,24.19433,28.4719,23.92754,19.55587,24.09686,24.53001,26.28451,22.06698,26.37574,19.86814,22.17651,24.95599,25.38452
Group 2,29.43956,26.88482,22.48325,22.45614,25.42581,22.34836,23.97968,22.35883,27.94149,23.06022,21.41612,21.8658,25.50868,21.4761,23.09965,17.25384,17.19345,17.35923,21.79614,27.91047,25.64748,21.19772,26.97666,23.68046,23.053,25.96215,26.07067,22.16419,22.16419,22.89506,22.9423,25.71386,25.75241,22.48169,24.77839,23.63857,24.05121,24.53982,29.46624,24.14133,22.16131,25.41118,23.45496,25.67887,24.92069,21.37273,23.03595,28.50864,19.76006,29.26624,20.63381,24.88115,22.28893,21.56084,24.86021,21.24532,24.41381,28.54198,23.80287,19.55283,24.1,24.56537,25.63475,22.14978,26.63536,19.91347,22.23434,24.6898,25.8237
Group 3,27.36354,26.4927,21.6993,18.49919,25.5374,19.56084,22.30666,18.78988,24.71372,24.67136,22.05927,20.95208,26.05265,22.27263,21.34372,13.92667,15.48564,14.23115,21.31663,27.36156,27.70511,21.13022,26.977,22.83075,21.28388,24.99663,24.58462,21.16744,21.16744,21.87083,21.8081,25.0961,22.86995,20.23444,24.91062,23.74373,22.32527,24.06803,29.37373,23.24595,20.91344,24.17178,23.50583,21.87958,25.33709,23.21072,22.58931,25.39128,23.75035,28.11743,20.44918,17.63443,23.20393,23.73223,25.1677,21.46624,22.61162,25.90185,24.10143,23.53381,21.84409,22.67958,19.08132,21.36145,25.38986,19.07936,21.12997,22.72613,26.7711
Group 3,27.38722,26.52409,22.88242,18.80759,25.56163,19.90789,22.41154,19.16576,24.7913,24.77246,23.24694,21.73243,26.10982,23.02255,21.42204,13.97647,15.72299,14.31019,21.16562,27.45242,27.73608,18.74994,27.12114,23.47474,21.37834,24.64972,25.04196,21.30685,21.30685,21.93905,21.80426,24.93299,19.90116,20.64023,24.97181,23.55387,22.53816,24.29647,29.39761,23.54766,21.02363,24.42388,23.7339,22.35783,25.60422,23.43052,22.88736,25.04637,23.85668,28.34563,20.17893,17.94719,22.93174,24.12761,25.37611,21.79597,23.05079,26.16225,24.53267,23.65869,21.93471,22.50231,18.07074,21.4651,25.70862,19.43798,21.19051,22.96556,26.50059
Group 3,27.89485,26.96474,22.23502,19.34482,25.63862,20.43374,22.82531,19.64555,25.06497,24.76475,22.43493,21.59275,26.11089,22.66861,21.7692,11.25267,15.96495,13.83526,21.48098,27.76884,27.75729,22.56908,27.42171,23.0909,22.1801,25.35059,25.3073,21.88517,21.88517,21.99508,21.94863,25.19635,23.64896,20.73473,25.30036,23.59155,22.7918,24.41901,29.44856,23.56448,21.0615,24.41772,23.77717,22.2275,25.82071,23.52703,23.03526,25.2521,24.02343,28.19556,19.90131,17.62872,23.2081,24.35991,25.55989,21.96364,23.01529,26.19886,24.58834,23.80532,22.17987,22.33427,18.91357,21.28237,25.5377,19.16236,21.92279,23.24329,26.75472
Group 3,27.11436,25.77927,21.71402,17.79252,24.30397,19.30082,21.67976,18.31713,23.74008,23.43576,22.0048,20.79874,24.98911,22.0088,20.37471,12.80554,14.43319,12.41733,20.1354,27.11751,27.22659,17.2902,26.30065,22.58779,20.53154,23.9339,25.06383,20.84105,20.84105,21.55854,21.34308,24.88055,17.80409,19.85789,24.6738,23.34988,21.967,23.64212,29.30192,23.00551,20.45275,23.8024,22.98632,21.0501,25.18707,22.89488,22.43857,24.96774,23.47696,27.47876,20.84939,17.77159,22.62832,23.83971,24.99447,21.23472,22.2695,25.67283,23.83791,23.27204,21.63802,22.68572,18.24071,20.92352,24.21408,19.23349,21.74708,22.24492,26.19469
Group 3,27.24051,26.48553,22.94005,19.24008,25.30122,20.64991,22.53395,19.61248,24.56392,24.65733,23.27617,21.9325,25.95139,23.23269,21.3865,14.29713,15.16314,14.17415,21.45497,27.45023,27.77435,19.07825,27.00718,22.58601,20.74347,24.4206,25.15308,21.15587,21.15587,21.87899,22.24194,25.4844,21.67717,20.29275,24.94917,23.78226,22.37584,24.13162,29.26123,23.27638,20.98812,24.0712,23.5388,22.18103,25.36194,23.32346,22.95428,25.55286,23.90736,28.22298,20.50643,17.47381,23.36451,24.3849,25.13362,21.54291,22.50579,26.36646,24.07508,23.67694,21.96701,23.11852,15.76121,21.48691,25.51665,19.29934,21.38235,22.67237,26.90092
Group 3,27.30215,26.30124,22.77518,18.835,25.38315,19.93577,22.50464,19.15618,24.48108,24.65493,23.11619,21.63659,26.03781,23.01945,21.12873,12.87997,14.96317,13.02115,21.11308,27.33675,27.58045,21.88941,26.96758,23.20428,21.03893,24.67511,24.6186,21.12282,21.12282,21.8926,21.57791,24.94432,22.93574,20.06185,24.66939,23.42627,22.07995,23.79249,29.1992,23.13388,20.77024,24.04119,23.37331,22.06942,25.28704,23.07823,22.60087,25.26072,23.66155,28.07957,20.48921,17.45102,22.89653,24.08639,25.0671,21.51893,22.38729,25.97728,24.07525,23.43818,21.72219,22.64959,17.47099,21.21728,25.33925,19.13875,21.17107,22.67823,26.4015
Group 4,27.81644,28.00601,24.25572,19.10476,26.23511,19.65739,22.3891,18.7994,25.10894,25.47293,24.70798,22.83168,26.90911,24.44666,21.93214,15.10591,16.10298,15.63084,21.77574,27.70021,27.76363,14.49167,27.32179,23.66604,21.97004,25.14211,24.99256,21.66525,21.66525,22.23221,22.29241,25.57038,20.11635,21.33845,24.86444,23.51484,22.77775,24.27558,29.42716,23.86937,20.97891,24.35812,23.78116,22.46779,25.6727,23.18689,23.28976,25.28027,23.62157,28.16444,20.24278,17.67569,23.44646,24.77783,25.45951,21.79363,22.65475,25.76101,24.55559,23.39373,22.3768,22.62318,17.36688,21.4721,25.35999,19.43955,21.62195,23.4775,27.017
Group 4,27.84999,27.69866,23.6229,18.98542,26.21052,19.75908,22.29477,18.7906,24.95723,25.46887,24.17338,22.57359,26.85828,24.10735,21.89524,14.82863,15.52668,14.51151,21.57527,27.60805,27.65102,18.39909,27.27462,22.94508,21.49071,25.13134,24.99171,21.73543,21.73543,22.19663,22.33003,25.62212,22.21512,21.2264,24.68843,23.4284,22.59719,24.14844,29.26018,23.97789,21.04833,24.24834,23.92599,22.54864,25.6348,23.26332,23.26018,25.38635,23.61777,28.37993,20.51707,18.00233,23.45017,24.8468,25.48762,22.03656,22.69899,25.82056,24.54547,23.39072,22.37246,22.82532,16.10046,21.62864,25.66087,19.03789,21.93072,23.3251,26.99344
Group 4,27.46604,27.74902,24.36292,18.90237,12.67574,19.82552,25.38928,18.82542,24.87502,25.38948,24.76599,22.92251,26.84247,24.49432,21.70505,15.10341,15.70941,15.72763,21.57477,27.36094,27.70784,15.01114,27.31446,22.96689,21.26907,24.18905,25.05881,20.9854,20.9854,22.03704,22.44708,25.75803,20.34653,21.39128,24.90278,23.65885,23.27718,24.78612,29.76022,24.28679,21.46559,24.69358,24.30315,23.29757,26.0807,23.77714,23.84389,25.84986,24.0491,28.56694,20.08466,18.03253,23.89905,25.70102,25.84835,22.32767,22.78798,26.16644,24.93592,23.84478,22.58317,22.66173,16.31526,21.80027,25.88017,19.08254,20.90956,23.28031,27.50602
Group 4,27.853,27.84302,24.41548,19.18634,26.49117,20.1482,22.77054,19.09758,25.39418,25.70104,24.90518,22.93759,27.09605,24.51529,22.21015,14.76036,16.13961,15.85912,21.75982,27.7131,27.7901,15.84282,27.48912,23.16565,22.04629,24.59273,25.14639,21.73445,21.73445,22.11362,22.42273,25.75391,21.97607,21.08926,24.70568,23.5801,23.06495,24.59388,29.49712,24.03236,21.07541,24.4373,24.10329,23.13567,25.89754,23.46372,23.73663,25.72276,23.92015,28.54568,21.10567,18.45323,23.78541,25.36454,25.66466,22.12452,22.90355,26.04316,24.69402,23.70002,22.4679,22.89189,17.7609,22.00835,25.87832,19.18745,21.84981,23.68638,27.29179
Group 4,27.51059,27.44717,23.6431,18.49093,25.74217,19.09536,22.00333,18.36366,24.63206,24.98812,24.1259,22.15707,26.5089,23.71892,21.41145,13.48847,15.45047,14.78928,21.07424,27.35623,27.47202,18.41636,26.98338,22.91251,20.82863,24.29812,24.70149,21.14746,21.14746,22.04625,22.40325,25.98489,22.50621,20.95047,24.51842,23.62919,22.64552,24.09925,29.26444,23.80243,21.08385,23.97002,23.82985,22.48403,25.68221,23.23448,23.2504,25.49697,23.51441,28.26108,19.99509,17.53579,23.63814,25.12299,25.59017,21.87298,22.99582,25.90216,24.28345,23.29427,22.26623,23.40861,18.29617,11.91401,25.4901,19.14692,21.80917,23.08209,27.15339
Group 4,27.55394,27.23021,23.87041,18.64281,25.8348,19.47701,22.14829,18.55917,24.69266,25.12283,24.37287,22.37073,26.59337,23.90571,21.5198,14.39553,15.80668,14.19483,21.12059,27.49758,27.4208,18.21595,26.92841,22.62179,21.15217,24.21314,24.91752,21.2242,21.2242,21.90284,22.05214,25.76673,21.76887,20.64408,24.40646,23.44569,22.44688,23.91097,29.03409,23.55464,20.0715,23.79659,23.41276,22.30833,25.35419,22.97813,22.86788,25.40706,23.45451,28.25131,21.32152,18.41131,23.34787,24.77145,25.1374,21.59615,22.46671,25.28144,23.98967,23.17686,22.16065,23.21199,16.56767,21.34901,25.46533,18.88572,21.6343,23.13108,26.87011
