sample,group
13,C
23,C
43,C
73,C
83,C
93,C
153,C
173,C
193,C
213,C
273,C
293,C
303,C
383,C
33,A
63,A
123,A
143,A
163,A
233,A
263,A
313,A
323,A
343,A
353,A
393,A
403,A
423,A
443,A
